type,name,height,base,t_w,t_f,r_1,r_2,a,a_vz,a_vy,i_y,i_z,i_t,i_w,w_el_y,w_el_z,w_pl_y,w_pl_z
TCAR,TCAR80x4,0.08,0.08,0.004,0.004,0.008,0.004,0.0011748,0.0005874,0.0005874,0.00000111,0.00000111,0.0000018,0,0.0000278,0.0000278,0.0000331,0.0000331
TCAR,TCAR80x5,0.08,0.08,0.005,0.005,0.01,0.005,0.00143562,0.00071781,0.00071781,0.00000131,0.00000131,0.00000218,0,0.0000329,0.0000329,0.0000397,0.0000397
TCAR,TCAR80x6,0.08,0.08,0.006,0.006,0.012,0.006,0.00168329,0.000841645,0.000841645,0.00000149,0.00000149,0.00000252,0,0.0000373,0.0000373,0.0000458,0.0000458
TCAR,TCAR80x6.3,0.08,0.08,0.0063,0.0063,0.01575,0.00945,0.00172096,0.00086048,0.00086048,0.00000149,0.00000149,0.00000261,0,0.0000371,0.0000371,0.0000461,0.0000461
TCAR,TCAR80x8,0.08,0.08,0.008,0.008,0.02,0.012,0.00208425,0.001042125,0.001042125,0.00000168,0.00000168,0.00000307,0,0.0000421,0.0000421,0.0000539,0.0000539
TCAR,TCAR90x3,0.09,0.09,0.003,0.003,0.006,0.003,0.00102082,0.00051041,0.00051041,0.00000127,0.00000127,0.00000201,0,0.0000283,0.0000283,0.000033,0.000033
TCAR,TCAR90x4,0.09,0.09,0.004,0.004,0.008,0.004,0.0013348,0.0006674,0.0006674,0.00000162,0.00000162,0.00000261,0,0.000036,0.000036,0.0000426,0.0000426
TCAR,TCAR90x5,0.09,0.09,0.005,0.005,0.01,0.005,0.00163562,0.00081781,0.00081781,0.00000193,0.00000193,0.00000316,0,0.0000429,0.0000429,0.0000514,0.0000514
TCAR,TCAR90x6,0.09,0.09,0.006,0.006,0.012,0.006,0.00192329,0.000961645,0.000961645,0.0000022,0.0000022,0.00000368,0,0.000049,0.000049,0.0000595,0.0000595
TCAR,TCAR90x6.3,0.09,0.09,0.0063,0.0063,0.01575,0.00945,0.00197296,0.00098648,0.00098648,0.00000221,0.00000221,0.00000382,0,0.0000491,0.0000491,0.0000603,0.0000603
TCAR,TCAR90x8,0.09,0.09,0.008,0.008,0.02,0.012,0.00240425,0.001202125,0.001202125,0.00000255,0.00000255,0.00000456,0,0.0000566,0.0000566,0.0000713,0.0000713
TCAR,TCAR100x3,0.1,0.1,0.003,0.003,0.006,0.003,0.00114082,0.00057041,0.00057041,0.00000177,0.00000177,0.00000279,0,0.0000354,0.0000354,0.0000412,0.0000412
TCAR,TCAR100x4,0.1,0.1,0.004,0.004,0.008,0.004,0.0014948,0.0007474,0.0007474,0.00000226,0.00000226,0.00000362,0,0.0000453,0.0000453,0.0000533,0.0000533
TCAR,TCAR100x5,0.1,0.1,0.005,0.005,0.01,0.005,0.00183562,0.00091781,0.00091781,0.00000271,0.00000271,0.00000441,0,0.0000542,0.0000542,0.0000646,0.0000646
TCAR,TCAR100x6,0.1,0.1,0.006,0.006,0.012,0.006,0.00216329,0.001081645,0.001081645,0.00000311,0.00000311,0.00000514,0,0.0000623,0.0000623,0.0000751,0.0000751
TCAR,TCAR100x6.3,0.1,0.1,0.0063,0.0063,0.01575,0.00945,0.00222496,0.00111248,0.00111248,0.00000314,0.00000314,0.00000536,0,0.0000628,0.0000628,0.0000764,0.0000764
TCAR,TCAR100x8,0.1,0.1,0.008,0.008,0.02,0.012,0.00272425,0.001362125,0.001362125,0.00000366,0.00000366,0.00000645,0,0.0000732,0.0000732,0.0000911,0.0000911
TCAR,TCAR100x10,0.1,0.1,0.01,0.01,0.025,0.015,0.00325664,0.00162832,0.00162832,0.00000411,0.00000411,0.0000075,0,0.0000822,0.0000822,0.00010525,0.00010525
TCAR,TCAR100x12,0.1,0.1,0.012,0.012,0.036,0.024,0.00360595,0.001802975,0.001802975,0.00000408,0.00000408,0.00000794,0,0.0000816,0.0000816,0.00010972,0.00010972
TCAR,TCAR100x12.5,0.1,0.1,0.0125,0.0125,0.0375,0.025,0.00370437,0.001852185,0.001852185,0.0000041,0.0000041,0.00000804,0,0.0000821,0.0000821,0.00011141,0.00011141
TCAR,TCAR120x3,0.12,0.12,0.003,0.003,0.006,0.003,0.00138082,0.00069041,0.00069041,0.00000312,0.00000312,0.00000488,0,0.0000521,0.0000521,0.0000602,0.0000602
TCAR,TCAR120x4,0.12,0.12,0.004,0.004,0.008,0.004,0.0018148,0.0009074,0.0009074,0.00000402,0.00000402,0.00000637,0,0.000067,0.000067,0.0000783,0.0000783
TCAR,TCAR120x5,0.12,0.12,0.005,0.005,0.01,0.005,0.00223562,0.00111781,0.00111781,0.00000485,0.00000485,0.00000779,0,0.0000809,0.0000809,0.0000954,0.0000954
TCAR,TCAR120x6,0.12,0.12,0.006,0.006,0.012,0.006,0.00264329,0.001321645,0.001321645,0.00000562,0.00000562,0.00000913,0,0.0000937,0.0000937,0.00011161,0.00011161
TCAR,TCAR120x6.3,0.12,0.12,0.0063,0.0063,0.01575,0.00945,0.00272896,0.00136448,0.00136448,0.00000572,0.00000572,0.00000955,0,0.0000953,0.0000953,0.00011422,0.00011422
TCAR,TCAR120x8,0.12,0.12,0.008,0.008,0.02,0.012,0.00336425,0.001682125,0.001682125,0.00000677,0.00000677,0.0000116,0,0.00011281,0.00011281,0.00013781,0.00013781
TCAR,TCAR120x10,0.12,0.12,0.01,0.01,0.025,0.015,0.00405664,0.00202832,0.00202832,0.00000777,0.00000777,0.0000138,0,0.00012947,0.00012947,0.00016182,0.00016182
TCAR,TCAR120x12,0.12,0.12,0.012,0.012,0.036,0.024,0.00456595,0.002282975,0.002282975,0.00000806,0.00000806,0.0000152,0,0.00013428,0.00013428,0.00017409,0.00017409
TCAR,TCAR120x12.5,0.12,0.12,0.0125,0.0125,0.0375,0.025,0.00470437,0.002352185,0.002352185,0.00000817,0.00000817,0.0000155,0,0.00013617,0.00013617,0.00017783,0.00017783
TCAR,TCAR140x4,0.14,0.14,0.004,0.004,0.008,0.004,0.0021348,0.0010674,0.0010674,0.00000652,0.00000652,0.0000102,0,0.0000931,0.0000931,0.00010815,0.00010815
TCAR,TCAR140x5,0.14,0.14,0.005,0.005,0.01,0.005,0.00263562,0.00131781,0.00131781,0.00000791,0.00000791,0.0000126,0,0.00011294,0.00011294,0.0001323,0.0001323
TCAR,TCAR140x6,0.14,0.14,0.006,0.006,0.012,0.006,0.00312329,0.001561645,0.001561645,0.0000092,0.0000092,0.0000148,0,0.00013149,0.00013149,0.00015533,0.00015533
TCAR,TCAR140x6.3,0.14,0.14,0.0063,0.0063,0.01575,0.00945,0.00323296,0.00161648,0.00161648,0.00000941,0.00000941,0.0000155,0,0.0001344,0.0001344,0.00015962,0.00015962
TCAR,TCAR140x8,0.14,0.14,0.008,0.008,0.02,0.012,0.00400425,0.002002125,0.002002125,0.0000113,0.0000113,0.000019,0,0.00016097,0.00016097,0.00019418,0.00019418
TCAR,TCAR140x10,0.14,0.14,0.01,0.01,0.025,0.015,0.00485664,0.00242832,0.00242832,0.0000131,0.0000131,0.0000227,0,0.00018738,0.00018738,0.00023038,0.00023038
TCAR,TCAR140x12,0.14,0.14,0.012,0.012,0.036,0.024,0.00552595,0.002762975,0.002762975,0.000014,0.000014,0.0000257,0,0.00019976,0.00019976,0.00025287,0.00025287
TCAR,TCAR140x12.5,0.14,0.14,0.0125,0.0125,0.0375,0.025,0.00570437,0.002852185,0.002852185,0.0000143,0.0000143,0.0000263,0,0.0002036,0.0002036,0.00025925,0.00025925
TCAR,TCAR150x4,0.15,0.15,0.004,0.004,0.008,0.004,0.0022948,0.0011474,0.0011474,0.00000808,0.00000808,0.0000126,0,0.00010771,0.00010771,0.00012487,0.00012487
TCAR,TCAR150x5,0.15,0.15,0.005,0.005,0.01,0.005,0.00283562,0.00141781,0.00141781,0.00000982,0.00000982,0.0000155,0,0.00013095,0.00013095,0.00015298,0.00015298
TCAR,TCAR150x6.3,0.15,0.15,0.0063,0.0063,0.01575,0.00945,0.00348496,0.00174248,0.00174248,0.0000117,0.0000117,0.0000192,0,0.00015649,0.00015649,0.00018515,0.00018515
TCAR,TCAR150x8,0.15,0.15,0.008,0.008,0.02,0.012,0.00432425,0.002162125,0.002162125,0.0000141,0.0000141,0.0000236,0,0.00018824,0.00018824,0.00022596,0.00022596
TCAR,TCAR150x10,0.15,0.15,0.01,0.01,0.025,0.015,0.00525664,0.00262832,0.00262832,0.0000165,0.0000165,0.0000284,0,0.00022034,0.00022034,0.00026917,0.00026917
TCAR,TCAR150x12,0.15,0.15,0.012,0.012,0.036,0.024,0.00600595,0.003002975,0.003002975,0.0000178,0.0000178,0.0000323,0,0.0002373,0.0002373,0.00029766,0.00029766
TCAR,TCAR150x12.5,0.15,0.15,0.0125,0.0125,0.0375,0.025,0.00620437,0.003102185,0.003102185,0.0000182,0.0000182,0.0000332,0,0.00024233,0.00024233,0.00030558,0.00030558
TCAR,TCAR150x16,0.15,0.15,0.016,0.016,0.048,0.032,0.00747724,0.00373862,0.00373862,0.0000201,0.0000201,0.0000383,0,0.00026792,0.00026792,0.00035144,0.00035144
TCAR,TCAR160x4,0.16,0.16,0.004,0.004,0.008,0.004,0.0024548,0.0012274,0.0012274,0.00000987,0.00000987,0.0000154,0,0.0001234,0.0001234,0.00014278,0.00014278
TCAR,TCAR160x5,0.16,0.16,0.005,0.005,0.01,0.005,0.00303562,0.00151781,0.00151781,0.000012,0.000012,0.000019,0,0.00015029,0.00015029,0.00017516,0.00017516
TCAR,TCAR160x6,0.16,0.16,0.006,0.006,0.012,0.006,0.00360329,0.001801645,0.001801645,0.0000141,0.0000141,0.0000224,0,0.00017569,0.00017569,0.00020624,0.00020624
TCAR,TCAR160x6.3,0.16,0.16,0.0063,0.0063,0.01575,0.00945,0.00373696,0.00186848,0.00186848,0.0000144,0.0000144,0.0000235,0,0.00018027,0.00018027,0.00021257,0.00021257
TCAR,TCAR160x8,0.16,0.16,0.008,0.008,0.02,0.012,0.00464425,0.002322125,0.002322125,0.0000174,0.0000174,0.000029,0,0.00021765,0.00021765,0.00026014,0.00026014
TCAR,TCAR160x10,0.16,0.16,0.01,0.01,0.025,0.015,0.00565664,0.00282832,0.00282832,0.0000205,0.0000205,0.0000349,0,0.00025596,0.00025596,0.00031095,0.00031095
TCAR,TCAR160x12,0.16,0.16,0.012,0.012,0.036,0.024,0.00648595,0.003242975,0.003242975,0.0000222,0.0000222,0.00004,0,0.00027805,0.00027805,0.00034605,0.00034605
TCAR,TCAR160x12.5,0.16,0.16,0.0125,0.0125,0.0375,0.025,0.00670437,0.003352185,0.003352185,0.0000228,0.0000228,0.0000411,0,0.00028438,0.00028438,0.00035566,0.00035566
TCAR,TCAR160x16,0.16,0.16,0.016,0.016,0.048,0.032,0.00811724,0.00405862,0.00405862,0.0000255,0.0000255,0.000048,0,0.0003183,0.0003183,0.00041267,0.00041267
